State,District,Rainfall,Temperature
Andaman and Nicobar Island,SOUTH ANDAMANS,3230.2810338971485,26.97428588590074
Andhra Pradesh,ADILABAD,1071.7184877893162,27.272061436253747
Andhra Pradesh,ANANTAPUR,628.3940812325463,27.14150550748075
Andhra Pradesh,CHITTOOR,956.4219881478958,26.87141856123628
Andhra Pradesh,EAST GODAVARI,1168.0351663546326,27.168618997252942
Andhra Pradesh,GUNTUR,841.7753234867603,28.596488528173353
Andhra Pradesh,KARIMNAGAR,975.0293005004471,27.62065837667736
Andhra Pradesh,KRISHNA,991.6945876897599,28.63723907749887
Andhra Pradesh,KURNOOL,659.7957385996428,27.701028765865075
Andhra Pradesh,MEDAK,971.3092179998123,26.805089338490976
Andhra Pradesh,NALGONDA,771.5610450477326,28.32318309023587
Andhra Pradesh,PRAKASAM,762.0523572270788,28.382709475394147
Andhra Pradesh,RANGAREDDI,787.8406191640772,26.928553820944614
Andhra Pradesh,SRIKAKULAM,1191.8578496813452,26.391830591160097
Andhra Pradesh,VISAKHAPATANAM,1244.1472041568331,25.270794821515008
Andhra Pradesh,VIZIANAGARAM,1188.4179982059613,26.433406809004943
Andhra Pradesh,WEST GODAVARI,1087.021517655227,28.316619161149085
Arunachal Pradesh,ANJAW,2823.0587875618276,7.495170557904436
Arunachal Pradesh,CHANGLANG,2644.8740542202727,18.63557392449973
Arunachal Pradesh,DIBANG VALLEY,2441.8534871143047,7.636002621498579
Arunachal Pradesh,EAST KAMENG,1550.3207990676267,11.25647731986616
Arunachal Pradesh,EAST SIANG,3691.6836039383666,20.964450930080687
Arunachal Pradesh,KRA DAADI,3315.667225535896,15.457216880402191
Arunachal Pradesh,KURUNG KUMEY,1324.0198624547313,12.778022095791648
Arunachal Pradesh,LOHIT,2567.9433028151693,15.390963638688389
Arunachal Pradesh,LONGDING,2219.0168031897783,19.916746150442087
Arunachal Pradesh,LOWER DIBANG VALLEY,2911.173658118739,14.948858066791914
Arunachal Pradesh,LOWER SUBANSIRI,3179.191413976238,20.55075878287395
Arunachal Pradesh,NAMSAI,2305.8404858980416,23.819050828130102
Arunachal Pradesh,PAPUM PARE,2500.052088688303,18.759627506218298
Arunachal Pradesh,SIANG,4143.068713347164,19.704948682217815
Arunachal Pradesh,TAWANG,1509.8760813130828,4.685067495646619
Arunachal Pradesh,TIRAP,2374.9166863030273,21.001856667700807
Arunachal Pradesh,UPPER SIANG,2816.7808866153396,12.628334810067976
Arunachal Pradesh,UPPER SUBANSIRI,3110.3748822936946,12.97786219428853
Arunachal Pradesh,WEST KAMENG,1940.101035897746,12.376693651775112
Arunachal Pradesh,WEST SIANG,4751.46921771545,20.712892311820998
Assam,BAKSA,2519.518816907584,24.80743514981196
Assam,BARPETA,2412.7418138919857,25.025074044377266
Assam,BONGAIGAON,2493.0001234873043,25.049301910020716
Assam,CACHAR,3002.653909771127,23.448625450587116
Assam,CHIRANG,3009.9661368622146,24.33446586582888
Assam,DARRANG,1752.1850944658088,24.479297873547488
Assam,DHEMAJI,3375.9958599898173,22.93182943610915
Assam,DHUBRI,2744.6450832532632,24.89174739740648
Assam,DIBRUGARH,2465.4236005805255,23.618332049951785
Assam,DIMA HASAO,2259.8586462598537,20.848501747220794
Assam,GOALPARA,2387.5859093259646,24.659224823403072
Assam,GOLAGHAT,1858.4743582342019,23.440774497600927
Assam,HAILAKANDI,2805.890842185701,25.324584527332828
Assam,JORHAT,2011.7402832266137,23.177005482339254
Assam,KAMRUP,1965.729945667996,23.6083441813457
Assam,KARIMGANJ,2940.776889758718,24.904436195386666
Assam,KOKRAJHAR,3423.5800460344126,24.403073340788783
Assam,LAKHIMPUR,2689.189106929721,23.48826479263695
Assam,NAGAON,1671.2132867223033,23.880930100256016
Assam,NALBARI,2145.8788827032954,25.008777835910422
Assam,SIVASAGAR,2250.446274655037,22.73798168371079
Assam,SONITPUR,2010.983014181979,23.66512120862941
Assam,TINSUKIA,2509.7187207382112,22.984774401849062
Assam,UDALGURI,1967.6806384847666,24.402193100771722
Bihar,ARARIA,1596.4668527675092,25.22900901186678
Bihar,ARWAL,933.2612397462004,26.024067892955618
Bihar,AURANGABAD,1019.6978744325634,25.83826186833873
Bihar,BANKA,1149.917423157014,25.568434747063385
Bihar,BEGUSARAI,998.3818936272395,26.096454636815412
Bihar,BHAGALPUR,1202.977729562464,25.63053094366229
Bihar,BHOJPUR,971.9707405044782,25.93542692540886
Bihar,BOKARO,1386.3768208173951,25.566540288446564
Bihar,BUXAR,983.7460370614431,25.787379798290573
Bihar,DARBHANGA,1061.7997377618315,25.536275430742915
Bihar,DHANBAD,1362.1287758499195,26.00819560865755
Bihar,DUMKA,1490.2651879840175,25.76525351558702
Bihar,GARHWA,1046.7946086580362,25.27508375288244
Bihar,GAYA,1018.1959659149742,25.644243078382864
Bihar,GIRIDIH,1248.8162861091218,25.322058243879603
Bihar,GODDA,1312.9964365388505,25.258710029954635
Bihar,GOPALGANJ,1084.1771966623162,25.366374043824123
Bihar,GUMLA,1440.3971918552227,23.533083137272826
Bihar,HAZARIBAGH,1260.3116899806614,24.492964759507913
Bihar,JAMUI,1097.511530364194,25.91648042381861
Bihar,JEHANABAD,829.4770362031599,26.103914060218703
Bihar,KAIMUR (BHABUA),995.8762099334556,25.68995023464593
Bihar,KATIHAR,1461.2955101668124,24.98876775160539
Bihar,KHAGARIA,1066.16390825586,25.996319729547498
Bihar,KISHANGANJ,2094.172955919452,24.71228263028757
Bihar,LAKHISARAI,1061.9604182162786,26.303899301690866
Bihar,LOHARDAGA,1335.6748960876214,23.6477416391892
Bihar,MADHEPURA,1229.5155939121896,25.66379360565521
Bihar,MADHUBANI,1181.1187217437512,25.39582264741144
Bihar,MUNGER,1097.4516492259384,26.18174275515733
Bihar,MUZAFFARPUR,1013.1490972523784,25.4998522784603
Bihar,NALANDA,908.0370310362641,26.158506342909156
